Sponsor,Sponsor Experience,Offering,Offering City,Offering State,Property Type,Investment Structure,Investment Profile,Targeted Investor IRR (%),Targeted Investor Equity Multiple,Targeted Avg Annual Cash Yield (%),Targeted Distribution Period,Targeted Investment Period (Years),Targeted First Distribution Date,Preferred Return (%),Minimum Investment ($),Loan-to-Cost (%),Investor Accreditation,1031 Exchange?,Opportunity Zone?,Date Funds Due,Date Closed,Offering Status,First Distribution (Period End Date),First Distribution (Payment Date),Last Distribution (Period End Date),Last Distribution (Payment Date),Last Tax Document Date,Realized Investor Equity Multiple,Realized Avg Annual Cash Yield (%),Disposition Date,Realized Investor IRR (%)
Vukota Capital Management,Seasoned,Fireside Village Apartments,Ralston,NE,Multifamily,Equity,Value Add,12.5,2.5,9.6,Monthly,10,1/1/2018,8,25000,60.2,Accredited Investors Only,No,No,,10/31/2017,Closed,11/30/2017,12/21/2017,10/25/2019,10/25/2019,5/24/2019,0.15,0.15,,
Ilan Investments,Tenured,Parkside Place,Spring,TX,Multifamily,Preferred Equity,Core Plus,15.8,4.1,12,Quarterly,12,2/28/2017,7,50000,73.86,Accredited Investors Only,No,No,,10/30/2017,Closed,2/28/2018,2/28/2018,7/31/2019,8/31/2019,2/13/2019,0.12,0.12,,
Dominion Diversified Real Estate Group,Seasoned,Comfort Suites - Savannah North,Port Wentworth,GA,Hospitality,Equity,Core Plus,18.9,2.1,14.5,Monthly,5,1/1/2018,9,25000,71.7,Accredited Investors Only,No,No,,10/25/2017,Closed,,,,,3/20/2019,,,,
RREAF,Tenured,RREAF Multifamily Fund I,South and Southeast United States,,Multi-Use,Equity Fund,Opportunistic,28.4,2,14.1,Quarterly,3,12/30/2017,9,25000,75,Accredited Investors Only,No,No,,10/24/2017,Closed,1/31/2018,1/11/2018,6/30/2019,8/7/2019,5/23/2019,0.16,0.32,,
Toro Real Estate Partners,Emerging,Main 608,Clarksville,TN,Multifamily,Equity,Development,27.6,1.6,17.9,,2,,8,25000,75,Accredited Investors Only,No,No,,10/23/2017,Closed,,,,,,,,,
Alpha Capital Partners,Seasoned,Old Taylor Road Cottages,Oxford,MS,Multifamily,Equity,Value Add,20.8,2.31,10,Quarterly,5,12/31/2017,8,20000,72,Accredited Investors Only,No,No,,10/16/2017,Realized,12/31/2017,1/26/2018,3/31/2019,5/23/2019,3/29/2019,0.79,1.57,,-14.55
Legacy Group Capital,Tenured,Legacy Opportunity Fund,Greater Seattle Area,WA,Multi-Use,Debt Fund,Value Add,12,,8,Monthly,2,,8,50000,,Accredited Investors Only,No,No,,12/1/2019,Funding,7/31/2015,8/1/2015,10/9/2019,10/9/2019,3/25/2019,0.11,,,
Hempel Companies,Tenured,Quadrant Office Building,Brooklyn Park,MN,Office,Equity,Value Add,27.1,2,13.7,Quarterly,3,2/28/2018,,25000,73.1,Accredited Investors Only,No,No,,10/11/2017,Closed,12/31/2017,12/21/2017,9/30/2019,9/27/2019,4/21/2019,1.59,3.19,,
"Investors Management Group, Inc.",Tenured,Caldera (Lawnfield Gardens),Portland,OR,Multifamily,Equity,Value Add,15.9,1.96,8,Monthly,5,1/31/2018,,25000,61.6,Accredited Investors Only,No,No,,10/10/2017,Closed,3/31/2018,4/1/2018,9/30/2019,10/1/2019,3/7/2019,0.09,0.17,,
Atlas,Tenured,Brookview Village,Chicago,IL,Multifamily,Equity,Value Add,25,3,6.5,Quarterly,5,5/31/2018,,25000,72.5,Accredited Investors Only,No,No,,10/9/2017,Closed,,,,,10/23/2019,,,,
Vertical Ventures,Seasoned,Oakland Airport Plaza,Oakland,CA,Office,Equity,Value Add,29.6,1.66,7.9,Quarterly,2,12/30/2017,10,100000,64.5,Accredited Investors Only,No,No,,10/8/2017,Closed,3/31/2018,4/20/2018,6/30/2019,7/23/2019,3/25/2019,0.15,0.3,,
Mascia Development,Seasoned,Camelot Center,Spartanburg,SC,Retail,Equity,Value Add,14,2.91,9.3,Monthly,10,,10,10000,58.24,Accredited Investors Only,No,No,,10/3/2017,Closed,1/2/1900,1/2/1900,6/30/2018,6/15/2018,3/14/2018,0.09,0.17,,
Forge Land Company,Emerging,Turk & Leavenworth,San Francisco,CA,Multifamily,Equity,Development,19,4.3,8.6,Quarterly,10,6/30/2021,8,25000,72,Accredited Investors Only,No,No,,9/19/2017,Closed,,,,,3/11/2019,,,,
Willow Creek Partners,Emerging,WCP Raleigh Student Housing,Raleigh,NC,Multifamily,Equity,Value Add,16.7,2,10,Quarterly,5,1/31/2018,8,25000,66.6,Accredited Investors Only,No,No,,9/13/2017,Closed,12/31/2017,1/31/2018,6/30/2019,8/2/2019,3/13/2019,0.14,0.29,,
Alpha Capital Partners,Seasoned,Alpha GP Fund I - Phase II,Multiple Locations,,Multi-Use,Equity Fund,Value Add,27.5,3,11,Quarterly,4,,15,50000,71.4,Accredited Investors Only,No,No,,9/7/2017,Closed,3/31/2017,6/16/2017,7/3/2019,7/3/2019,4/1/2019,0.2,0.4,,
ArborCrowd,Tenured,Lago Paradiso,Miami,FL,Multifamily,Equity,Value Add,15.5,2.25,9.7,Quarterly,6,1/31/2018,8,25000,67.3,Accredited Investors Only,No,No,,9/5/2017,Closed,2/28/2018,2/27/2018,8/20/2019,8/20/2019,4/2/2019,0.48,0.96,,
WestPac,Tenured,Chandler Lofts,East Lansing,MI,Multifamily,Equity,Development,26.1,2,5,Quarterly,3,12/31/2018,8,25000,82.1,Accredited Investors Only,No,No,,8/23/2017,Closed,,,,,3/15/2019,,,,
"Capital Commercial Investments, Inc.",Tenured,CCI-Clear Lake IX,Houston,TX,Office,Equity,Opportunistic,24.6,1.9,14.8,,3,,8,25000,59.1,Accredited Investors Only,No,No,,8/18/2017,Closed,,,,,3/26/2019,,,,
Halpern Real Estate Ventures,Seasoned,Sheldrake Lofts,Mamaroneck,NY,Multifamily,Equity,Development,22,1.81,2.5,Quarterly,3,10/31/2019,8,50000,65.8,Accredited Investors Only,No,No,,8/16/2017,Closed,,,,,8/16/2019,,,,
Block Funds,Tenured,Papillon Parc (dba Waterchase Gardens),Fort Worth,TX,Multifamily,Equity,Value Add,15.6,3.31,9,Monthly,10,10/31/2017,8,37300,71,Accredited Investors Only,No,No,,8/14/2017,Closed,10/1/2017,10/1/2017,7/10/2019,7/10/2019,3/26/2019,0.12,0.24,,
Vukota Capital Management,Seasoned,Bridgeport Apartments,Irving,TX,Multifamily,Equity,Value Add,14.1,2.9,9.8,Monthly,10,9/22/2017,8,25000,63.4,Accredited Investors Only,No,No,,8/3/2017,Closed,8/31/2017,9/25/2017,10/25/2019,10/25/2019,3/7/2019,0.17,0.35,,
Henley USA,Tenured,Sonoma Villas and Pines,Phoenix,AZ,Multifamily,Equity,Value Add,22.7,2.1,10.5,Quarterly,4,2/1/2019,8,25000,82.3,Accredited Investors Only,No,No,,8/2/2017,Closed,9/30/2017,11/8/2017,5/10/2019,5/10/2019,5/3/2019,1.52,3.04,,
Alpha Capital Partners,Seasoned,Wolf Creek Student Condos,College Station,TX,Multifamily,Equity,Core Plus,18.6,2.1,11,Monthly,5,10/31/2017,8,20000,71.3,Accredited Investors Only,No,No,,7/28/2017,Closed,9/30/2017,10/25/2017,6/30/2019,7/31/2019,3/28/2019,0.09,0.18,,
Big V Acquisitions LLC,Seasoned,Crossroads South,Atlanta (Jonesboro),GA,Retail,Equity,Value Add,17.9,2.1,8.9,Quarterly,5,10/31/2017,8,25000,72.4,Accredited Investors Only,No,No,,7/21/2017,Closed,9/30/2017,10/31/2017,9/30/2019,10/10/2019,3/14/2019,0.14,0.28,,
"Windmill Investments, LLC",Seasoned,Diamond Loch Apartments,North Richland Hills,TX,Multifamily,Equity,Value Add,14,1.5,,Quarterly,4,,,25000,,Accredited Investors Only,No,No,,7/21/2017,Realized,,,,,,,,,
Willow Creek Partners,Emerging,Willow Creek GSO Portfolio,Greensboro,NC,Multifamily,Equity,Value Add,19.9,2.23,10,Quarterly,5,10/1/2017,8,25000,67,Accredited Investors Only,No,No,,7/19/2017,Closed,9/30/2017,10/31/2017,6/30/2019,8/2/2019,5/9/2019,0.14,0.27,,
Castle Lanterra Properties,Seasoned,Loftin Place,West Palm Beach,FL,Multifamily,Equity,Core Plus,11.7,2.3,8.9,Quarterly,10,10/31/2017,7,50000,65.1,Accredited Investors Only,No,No,,7/11/2017,Closed,9/30/2017,10/26/2017,6/30/2019,8/7/2019,8/23/2019,0.1,0.19,,
Terrapin Investments,Seasoned,Sheraton ABQ Airport Hotel,Albuquerque,NM,Hospitality,Equity,Value Add,24.4,1.83,15.9,Quarterly,3,10/31/2017,9,25000,73.9,Accredited Investors Only,No,No,,7/10/2017,Closed,6/30/2017,11/2/2017,3/31/2019,4/26/2019,3/28/2019,0.15,0.29,,
Nicholas Residential,Emerging,Valencia Apartments,Fort Worth,TX,Multifamily,Equity,Value Add,18,2.03,9.9,Monthly,4,10/31/2017,10,25000,70.8,Accredited Investors Only,No,No,,6/29/2017,Closed,10/31/2017,10/31/2017,9/30/2018,11/27/2018,10/16/2019,0.1,0.21,,
US Residential Fund,Seasoned,Patriot's Pointe,Hillsborough,NC,Multifamily,Equity,Core Plus,16.3,2,8.4,Annually,5,7/1/2017,8,20000,59,Accredited Investors Only,No,No,,6/29/2017,Realized,6/30/2017,6/30/2017,12/31/2018,12/31/2018,,1.29,2.58,,20.4
ScanlanKemperBard,Tenured,High Street,Phoenix,AZ,Mixed Use,Equity,Value Add,17.8,2.05,8.9,Quarterly,5,10/31/2017,12,50000,64,Accredited Investors Only,No,No,,6/19/2017,Closed,3/31/2018,4/30/2018,6/30/2019,7/31/2019,4/14/2019,0.19,0.38,,
"Margules Properties, Inc.",Tenured,"Sunnyside Queens, NYC",Queens,NY,Multifamily,Equity,Value Add,15.7,2.01,4.3,Quarterly,5,10/31/2018,8,50000,47.8,Accredited Investors Only,No,No,,6/19/2017,Closed,,,,,10/4/2019,,,,
Virtua Partners,Emerging,Virtua High Growth Fund III,Multiple Locations,Multiple Locations,Multi-Use,Equity Fund,Opportunistic,30,2.2,,,3,,15,50000,,Accredited Investors Only,No,No,,6/19/2017,Closed,8/29/2018,8/29/2018,6/28/2019,6/28/2019,7/1/2019,0.1,0.2,,
Alpha Capital Partners,Seasoned,Alpha Healthcare Fund I,Multiple Locations,,Medical Office,Equity,Value Add,20,1.95,12,Monthly,4,7/25/2017,8,20000,71.8,Accredited Investors Only,No,No,,6/6/2017,Closed,6/30/2017,6/23/2017,9/30/2019,10/1/2019,3/29/2019,0.18,0.36,,
Urban Green,Seasoned,Burnside,Portland,OR,Multifamily,Equity,Development,22,1.93,,Quarterly,4,12/1/2018,,25000,,Accredited Investors Only,No,No,,5/10/2017,Realized,6/30/2018,6/22/2018,6/30/2018,6/22/2018,6/15/2019,1.6,3.19,6/20/2018,-58.7
Block Funds,Tenured,46 Penn Centre,Kansas City,MO,Office,Equity,Development,14.75,3.33,8.1,Annually,10,1/31/2020,,50000,70,Accredited Investors Only,No,No,,5/5/2017,Closed,,,,,9/3/2019,,,,
RREAF,Tenured,Days Inn Pensacola,Pensacola,FL,Hospitality,Equity,Value Add,32,2.16,14.8,Quarterly,3,8/31/2017,8,25000,68,Accredited Investors Only,No,No,,5/4/2017,Closed,3/31/2017,8/11/2017,6/30/2019,7/30/2019,9/17/2019,0.17,0.35,,
"Windmill Investments, LLC",Seasoned,Clear Point Gardens,Columbus,OH,Multifamily,Equity,Value Add,16.7,1.95,8,Quarterly,5,7/1/2017,,50000,,Accredited Investors Only,No,No,,5/2/2017,Realized,6/30/2017,6/30/2017,8/28/2018,8/28/2018,4/4/2019,1.54,3.08,,49.67
Encore Enterprises,Tenured,Encore GP Investment Fund,Multiple Locations,,Multi-Use,Equity Fund,Value Add,21,1.8,,Quarterly,6,1/15/2019,8,50000,80,Accredited Investors Only,No,No,,5/2/2017,Closed,12/31/2018,12/31/2018,9/30/2019,9/30/2019,9/10/2019,,0.01,,
Avistone,Emerging,Northgate Business Park III,Dallas,TX,Industrial,Equity,Core Plus,13.2,1.8,8,Monthly,5,,8,50000,62.97,Accredited Investors Only,No,No,,4/21/2017,Closed,4/30/2017,5/15/2017,8/31/2019,9/15/2019,9/24/2019,0.17,0.33,,
"Capital Commercial Investments, Inc.",Tenured,CCI-Cottonwood,Irving,TX,Office,Equity,Value Add,20.8,2.1,10,,4,,8,25000,60,Accredited Investors Only,No,No,,4/19/2017,Closed,,,,,3/11/2019,,,,
Vukota Capital Management,Seasoned,Torrey Pines Apartment Homes,Denver,CO,Multifamily,Equity,Value Add,13.6,2.7,9.6,Quarterly,10,7/1/2017,8,25000,72.38,Accredited Investors Only,No,No,,4/17/2017,Closed,5/31/2017,6/22/2017,10/25/2019,10/25/2019,3/7/2019,0.2,0.4,,
Dominion Diversified Real Estate Group,Seasoned,Comfort Inn at Monticello,Charlottesville,VA,Hospitality,Equity,Core Plus,21.3,2.23,15,Quarterly,5,6/1/2017,9,25000,72.92,Accredited Investors Only,No,No,,3/22/2017,Closed,9/30/2017,9/5/2017,9/30/2018,10/9/2018,8/13/2019,0.08,0.15,,
Alpha Capital Partners,Seasoned,Lake Land Living,Mattoon,IL,Multifamily,Equity,Value Add,24.9,2.55,17.6,Monthly,5,5/1/2017,10,20000,73.8,Accredited Investors Only,No,No,,3/20/2017,Closed,6/30/2017,6/23/2017,3/31/2018,5/18/2018,3/29/2019,0.09,0.18,,
Fiola Communities,Emerging,FC Alondra 37,Norwalk,CA,Multifamily,Equity,Value Add,18.8,1.41,19,Quarterly,2,,8,30000,66.8,Accredited Investors Only,No,No,,3/16/2017,Realized,,,,,3/16/2018,,,,
Westmount Realty Equities,Tenured,Westmount at London Park,Houston,TX,Multifamily,Equity,Value Add,15.2,1.9,9.8,Quarterly,5,,9,25000,68.57,Accredited Investors Only,No,No,,3/16/2017,Closed,3/31/2017,4/21/2017,6/30/2019,7/25/2019,3/15/2019,0.24,0.48,,
The Dolben Company,Tenured,Residences at Great Pond,Randolph,MA,Multifamily,Equity,Development,14.4,2.4,7.3,Quarterly,7,1/15/2019,8,50000,72.37,Accredited Investors Only,No,No,,3/12/2017,Closed,12/31/2018,12/31/2018,1/31/2019,1/31/2019,3/13/2019,0.36,0.71,,
Block Funds,Tenured,Traders on Grand,Kansas City,MO,Mixed Use,Equity,Development,25.7,3.4,19.8,Quarterly,7,1/15/2020,10,50000,54.2,Accredited Investors Only,No,No,,3/8/2017,Closed,,,,,7/30/2019,,,,
Big V Acquisitions LLC,Seasoned,Gunbarrel Place,Chattanooga,TN,Retail,Equity,Value Add,21.4,2.8,10.7,Quarterly,6,,8,25000,70.4,Accredited Investors Only,No,No,,3/7/2017,Closed,3/31/2017,4/17/2017,9/30/2019,9/20/2019,3/12/2019,0.49,0.98,,
Hayman Properties,Seasoned,Parkway Office Centre (dba Vibe Arts District),Denver,CO,Office,Equity,Value Add,18.7,1.9,8,Monthly,4,2/1/2017,8,25000,71.78,Accredited Investors Only,No,No,,3/1/2017,Closed,3/31/2017,4/17/2017,4/27/2018,4/27/2018,7/27/2019,0.09,0.17,,
